message,label
Merci pour ton aide, ton explication est très claire.,acceptable
Je ne suis pas d'accord avec toi, mais je respecte ton point de vue.,acceptable
Peux-tu partager la source de cette information ?,acceptable
Cette proposition mérite une discussion plus calme.,acceptable
Bravo à toute l'équipe pour ce travail.,acceptable
Je trouve ce commentaire injuste, mais restons constructifs.,acceptable
Ton idée est mauvaise et tu refuses d'écouter.,insulte
Tu racontes vraiment n'importe quoi.,insulte
Arrête de faire ton intéressant, c'est pathétique.,insulte
Ce message est ridicule et méprisant.,insulte
Tu es incapable de comprendre le sujet.,insulte
Quelle intervention stupide.,insulte
On va te suivre partout sur ce forum pour te faire honte.,harcelement
Chaque fois que tu publieras, on viendra t'humilier.,harcelement
Tout le monde devrait t'ignorer et te ridiculiser en boucle.,harcelement
Je vais republier tes erreurs tous les jours.,harcelement
On va créer un groupe juste pour se moquer de toi.,harcelement
Tu ne pourras plus parler ici sans qu'on te tombe dessus.,harcelement
Les personnes de ce groupe ne devraient pas avoir leur place ici.,haine
Ce groupe est inférieur et devrait être exclu de nos espaces.,haine
On devrait refuser les services aux gens de cette origine.,haine
Les personnes comme elles sont toutes dangereuses.,haine
Aucune personne de cette communauté ne devrait participer.,haine
Il faut chasser ce groupe de la discussion.,haine
Je vais venir te faire du mal si tu continues.,menace
Tu vas regretter physiquement ce que tu viens de dire.,menace
Je sais où te trouver et je vais m'en prendre à toi.,menace
Continue et je vais te casser la figure.,menace
Je vais détruire tes affaires demain.,menace
Tu devrais avoir peur de ce que je vais faire.,menace
Je comprends ta frustration, mais évitons les attaques personnelles.,acceptable
Cette règle peut être améliorée pour être plus équitable.,acceptable
Je propose une médiation avant de conclure.,acceptable
Ton commentaire manque de nuance.,acceptable
Tu es fatigant avec tes arguments faibles.,insulte
Ce raisonnement est absurde et agressif.,insulte
On va signaler chacun de tes messages pour te faire partir.,harcelement
On va te poursuivre en commentaires jusqu'à ce que tu abandonnes.,harcelement
Ces gens ne méritent pas les mêmes droits que nous.,haine
Il faut empêcher cette communauté d'entrer ici.,haine
Je vais te retrouver après l'événement.,menace
Je vais m'occuper de toi en personne.,menace
